listing_id,seller_id,category,product_name,price_eur,stock_qty,is_active,listed_date
LST00001,SEL0256,Beauty,Product_00001,391.48,27,1,2023-06-05
LST00002,SEL0094,Electronics,Product_00002,352.94,114,1,2023-06-25
LST00003,SEL0385,Fashion,Product_00003,274.73,92,1,2023-02-01
LST00004,SEL0077,Beauty,Product_00004,259.11,171,1,2023-04-21
LST00005,SEL0365,Sports,Product_00005,210.99,147,1,2023-05-04
LST00006,SEL0190,Sports,Product_00006,312.45,131,1,2023-02-13
LST00007,SEL0490,Home & Garden,Product_00007,366.05,105,1,2023-02-21
LST00008,SEL0312,Electronics,Product_00008,74.19,126,1,2023-03-09
LST00009,SEL0404,Home & Garden,Product_00009,98.75,68,1,2023-05-14
LST00010,SEL0039,Electronics,Product_00010,111.63,162,1,2023-06-07
LST00011,SEL0288,Beauty,Product_00011,413.79,148,1,2023-03-01
LST00012,SEL0177,Fashion,Product_00012,202.51,200,1,2023-02-12
LST00013,SEL0498,Sports,Product_00013,32.92,93,1,2023-03-11
LST00014,SEL0146,Home & Garden,Product_00014,428.95,158,1,2023-05-14
LST00015,SEL0140,Home & Garden,Product_00015,433.68,84,1,2023-02-24
LST00016,SEL0205,Home & Garden,Product_00016,221.86,67,1,2023-01-08
LST00017,SEL0097,Fashion,Product_00017,49.75,99,1,2023-05-21
LST00018,SEL0167,Sports,Product_00018,261.48,187,1,2023-03-21
LST00019,SEL0130,Electronics,Product_00019,225.45,27,1,2023-02-25
LST00020,SEL0050,Beauty,Product_00020,393.19,65,1,2023-05-29
LST00021,SEL0189,Fashion,Product_00021,445.99,120,1,2023-03-07
LST00022,SEL0396,Home & Garden,Product_00022,158.5,180,0,2023-03-30
LST00023,SEL0298,Beauty,Product_00023,458.81,124,1,2023-06-10
LST00024,SEL0161,Electronics,Product_00024,294.34,72,1,2023-03-16
LST00025,SEL0136,Beauty,Product_00025,45.75,119,1,2023-01-09
LST00026,SEL0244,Electronics,Product_00026,439.58,144,1,2023-04-19
LST00027,SEL0129,Sports,Product_00027,152.54,123,1,2023-02-20
LST00028,SEL0099,Home & Garden,Product_00028,430.48,2,1,2023-03-30
LST00029,SEL0491,Fashion,Product_00029,30.25,99,0,2023-02-05
LST00030,SEL0189,Fashion,Product_00030,38.97,67,0,2023-02-06
LST00031,SEL0070,Electronics,Product_00031,341.6,42,1,2023-05-15
LST00032,SEL0481,Sports,Product_00032,10.1,175,1,2023-01-11
LST00033,SEL0406,Fashion,Product_00033,177.77,133,1,2023-05-13
LST00034,SEL0404,Home & Garden,Product_00034,226.31,72,1,2023-02-25
LST00035,SEL0325,Home & Garden,Product_00035,467.12,113,1,2023-01-31
LST00036,SEL0216,Sports,Product_00036,351.68,176,1,2023-06-18
LST00037,SEL0134,Electronics,Product_00037,373.13,151,1,2023-04-14
LST00038,SEL0096,Sports,Product_00038,231.31,97,1,2023-02-24
LST00039,SEL0004,Fashion,Product_00039,130.43,59,1,2023-04-20
LST00040,SEL0117,Fashion,Product_00040,446.05,144,1,2023-01-01
