session_id,user_id,listing_id,seller_id,session_date,device,country,page_views,session_dur_sec,bounced
SS000001,U03137,LST00859,SEL0039,2023-06-01,Android,DE,8,137,0
SS000002,U04067,LST02478,SEL0340,2023-08-26,Android,SK,6,123,0
SS000003,U02660,LST01775,SEL0125,2023-08-06,Android,DE,11,75,0
SS000004,U00745,LST01945,SEL0496,2023-06-10,Android,DE,11,666,1
SS000005,U03597,LST00343,SEL0262,2023-08-03,Android,DE,11,529,1
SS000006,U03476,LST00982,SEL0365,2023-08-27,Android,DE,12,398,0
SS000007,U04591,LST02797,SEL0436,2023-08-15,Android,DE,10,165,0
SS000008,U03018,LST00107,SEL0043,2023-07-25,Android,CZ,2,377,1
SS000009,U03659,LST02119,SEL0453,2023-07-27,Android,PL,9,597,0
SS000010,U00668,LST01164,SEL0063,2023-08-28,Android,DE,3,302,1
SS000011,U01042,LST02940,SEL0458,2023-07-27,iOS,DE,11,357,0
SS000012,U00228,LST02134,SEL0344,2023-08-14,Android,DE,5,576,1
SS000013,U01095,LST02482,SEL0273,2023-06-15,iOS,CZ,11,44,0
SS000014,U00689,LST00155,SEL0340,2023-07-08,Android,DE,5,331,1
SS000015,U03769,LST01963,SEL0422,2023-07-22,Android,CZ,9,235,0
SS000016,U02784,LST00036,SEL0216,2023-08-17,Android,SK,12,713,0
SS000017,U00138,LST02717,SEL0203,2023-08-12,Android,DE,8,823,0
SS000018,U03429,LST00286,SEL0393,2023-07-21,iOS,PL,8,279,0
SS000019,U00984,LST01509,SEL0205,2023-07-05,Android,PL,11,150,0
SS000020,U00336,LST01616,SEL0253,2023-06-24,iOS,PL,11,526,0
SS000021,U03361,LST02543,SEL0049,2023-07-31,iOS,PL,1,850,0
SS000022,U01175,LST01463,SEL0388,2023-08-28,iOS,PL,4,582,0
SS000023,U00784,LST02263,SEL0160,2023-06-03,Android,DE,12,642,0
SS000024,U02658,LST00172,SEL0296,2023-08-01,Android,RO,2,149,1
SS000025,U04243,LST00623,SEL0158,2023-08-24,Android,DE,4,340,1
SS000026,U02082,LST02785,SEL0254,2023-08-22,iOS,CZ,4,139,0
SS000027,U03027,LST01420,SEL0231,2023-06-02,Android,CZ,8,591,0
SS000028,U04658,LST02516,SEL0167,2023-07-18,iOS,DE,2,703,0
SS000029,U04093,LST00454,SEL0201,2023-07-07,iOS,CZ,5,483,0
SS000030,U03063,LST00641,SEL0345,2023-07-30,Android,PL,3,462,0
SS000031,U02947,LST01814,SEL0214,2023-06-22,iOS,PL,3,144,0
SS000032,U03978,LST01317,SEL0007,2023-07-14,Android,SK,9,437,0
SS000033,U03156,LST00256,SEL0176,2023-08-03,iOS,PL,11,422,1
SS000034,U03053,LST02456,SEL0245,2023-07-22,Android,PL,7,287,0
SS000035,U02350,LST00322,SEL0344,2023-07-23,iOS,DE,8,88,0
SS000036,U04138,LST01267,SEL0086,2023-06-14,Android,CZ,2,490,1
SS000037,U03514,LST00750,SEL0220,2023-06-23,iOS,DE,2,159,1
SS000038,U00627,LST00268,SEL0480,2023-07-22,iOS,RO,6,735,0
SS000039,U00646,LST01302,SEL0155,2023-06-17,iOS,CZ,2,548,1
SS000040,U01794,LST02284,SEL0401,2023-06-09,iOS,CZ,2,461,1
SS000041,U04068,LST01759,SEL0216,2023-06-24,Android,DE,6,228,0
