transaction_id,session_id,seller_id,listing_id,user_id,txn_date,country,device,quantity,unit_price_eur,gmv_eur,is_returned,category
TXN000001,SS010819,SEL0310,LST02219,U02794,2023-07-27,DE,Android,4,267.78,1071.12,1,Electronics
TXN000002,SS009161,SEL0458,LST01553,U01722,2023-08-18,PL,Android,3,200.05,600.15,0,Electronics
TXN000003,SS004201,SEL0390,LST01620,U03489,2023-06-07,CZ,Android,3,27.68,83.04,0,Sports
TXN000004,SS003189,SEL0395,LST01782,U01506,2023-07-08,SK,Android,1,313.74,313.74,0,Fashion
TXN000005,SS005356,SEL0042,LST00310,U02631,2023-06-27,PL,Android,3,219.62,658.86,0,Electronics
TXN000006,SS000546,SEL0376,LST02976,U00912,2023-07-02,DE,Android,4,123.57,494.28,0,Electronics
TXN000007,SS001969,SEL0064,LST02989,U02623,2023-07-07,PL,iOS,3,326.05,978.15,1,Fashion
TXN000008,SS019491,SEL0298,LST00695,U04595,2023-08-26,RO,Android,3,371.61,1114.83,0,Beauty
TXN000009,SS010066,SEL0390,LST00585,U02959,2023-06-20,RO,Android,1,349.36,349.36,0,Sports
TXN000010,SS005298,SEL0315,LST00547,U03477,2023-06-21,PL,Android,2,54.68,109.36,0,Electronics
TXN000011,SS002863,SEL0376,LST02976,U00735,2023-06-30,DE,Android,4,123.57,494.28,0,Electronics
TXN000012,SS019650,SEL0076,LST02233,U04448,2023-08-17,DE,Android,2,265.78,531.56,0,Fashion
TXN000013,SS004755,SEL0084,LST02593,U00952,2023-08-08,DE,Android,2,33.62,67.24,0,Sports
TXN000014,SS008424,SEL0325,LST02048,U00009,2023-06-28,DE,Android,4,363.23,1452.92,0,Home & Garden
TXN000015,SS002995,SEL0123,LST00483,U01337,2023-07-21,DE,Android,3,412.73,1238.19,0,Beauty
TXN000016,SS014909,SEL0052,LST02131,U00362,2023-07-26,PL,iOS,3,249.29,747.87,0,Fashion
TXN000017,SS006642,SEL0433,LST00812,U03903,2023-07-30,DE,iOS,2,198.44,396.88,0,Home & Garden
TXN000018,SS015129,SEL0224,LST01567,U04314,2023-08-06,PL,Android,3,400.48,1201.44,0,Home & Garden
TXN000019,SS019470,SEL0500,LST00175,U03230,2023-06-16,PL,iOS,4,25.16,100.64,0,Beauty
TXN000020,SS000133,SEL0159,LST00957,U01816,2023-08-13,CZ,iOS,3,171.53,514.59,0,Electronics
TXN000021,SS015477,SEL0034,LST02031,U00214,2023-07-18,DE,Android,4,473.0,1892.0,0,Sports
TXN000022,SS002521,SEL0148,LST00191,U00398,2023-07-19,DE,iOS,1,280.96,280.96,1,Beauty
TXN000023,SS010624,SEL0073,LST02548,U03520,2023-06-12,PL,Android,2,405.54,811.08,0,Home & Garden
TXN000024,SS011031,SEL0065,LST01497,U00865,2023-06-04,DE,Android,2,343.92,687.84,0,Fashion
TXN000025,SS016211,SEL0339,LST01479,U00720,2023-07-20,DE,iOS,3,288.56,865.68,0,Sports
TXN000026,SS009901,SEL0157,LST01992,U02376,2023-06-06,CZ,iOS,4,125.57,502.28,0,Home & Garden
TXN000027,SS006100,SEL0382,LST01921,U01208,2023-06-24,PL,iOS,2,216.61,433.22,0,Beauty
TXN000028,SS017345,SEL0310,LST00571,U01455,2023-08-28,DE,iOS,3,168.68,506.04,1,Electronics
TXN000029,SS019929,SEL0069,LST00972,U00075,2023-06-14,DE,iOS,1,435.1,435.1,0,Beauty
TXN000030,SS003717,SEL0497,LST02392,U03730,2023-06-16,RO,Android,2,34.6,69.2,0,Fashion
TXN000031,SS013828,SEL0349,LST00108,U01090,2023-07-05,DE,iOS,1,179.27,179.27,0,Home & Garden
TXN000032,SS008479,SEL0368,LST00516,U04883,2023-08-22,SK,iOS,1,173.13,173.13,1,Electronics
TXN000033,SS013610,SEL0205,LST01494,U00210,2023-06-21,SK,iOS,3,488.47,1465.41,0,Home & Garden
TXN000034,SS007786,SEL0018,LST01528,U00867,2023-07-20,PL,Android,4,248.68,994.72,0,Sports
TXN000035,SS009639,SEL0296,LST00172,U02408,2023-06-13,DE,Android,4,314.59,1258.36,0,Electronics
TXN000036,SS012505,SEL0275,LST00270,U03667,2023-07-11,PL,Android,3,309.59,928.77,0,Fashion
TXN000037,SS011735,SEL0263,LST02658,U04978,2023-08-18,DE,Android,4,6.98,27.92,0,Electronics
TXN000038,SS016029,SEL0119,LST02733,U04846,2023-07-20,DE,Android,3,488.24,1464.72,0,Beauty
TXN000039,SS013147,SEL0453,LST02178,U01358,2023-07-05,RO,iOS,4,216.38,865.52,0,Electronics
TXN000040,SS001743,SEL0137,LST00184,U00880,2023-07-01,CZ,Android,2,55.91,111.82,0,Fashion
TXN000041,SS014578,SEL0078,LST01495,U04233,2023-07-10,DE,iOS,4,96.43,385.72,0,Sports
TXN000042,SS002790,SEL0369,LST01513,U01679,2023-07-16,PL,Android,3,286.33,858.99,0,Electronics
TXN000043,SS007903,SEL0298,LST00695,U00182,2023-07-12,CZ,Android,2,371.61,743.22,1,Beauty
TXN000044,SS005022,SEL0204,LST02920,U01668,2023-06-26,DE,Android,1,184.94,184.94,1,Electronics
TXN000045,SS000545,SEL0400,LST00738,U01246,2023-07-24,SK,Android,1,27.21,27.21,0,Fashion
TXN000046,SS014876,SEL0121,LST01609,U01054,2023-06-12,PL,Android,4,489.43,1957.72,0,Home & Garden
TXN000047,SS010822,SEL0155,LST01763,U02970,2023-07-09,CZ,Android,1,378.34,378.34,1,Home & Garden
TXN000048,SS007251,SEL0187,LST02348,U01223,2023-08-13,PL,Android,2,152.26,304.52,1,Fashion
TXN000049,SS015868,SEL0049,LST02061,U00736,2023-08-16,SK,Android,2,250.7,501.4,0,Sports
TXN000050,SS008427,SEL0063,LST01116,U03819,2023-06-16,DE,Android,4,335.25,1341.0,0,Electronics
TXN000051,SS015314,SEL0162,LST00564,U01753,2023-08-27,CZ,Android,2,411.4,822.8,1,Home & Garden
